"Name","m","pool_size","test_acc"
"cifar10_pool_size=20000000_m=512_p=0.5_lr=0.0005_epochs=300","512","20000000",""
"cifar10_pool_size=1000000_m=512_p=0.5_lr=0.0005_epochs=300","512","1000000","0.5894325657894737"
"cifar10_pool_size=100000_m=512_p=0.5_lr=0.0005_epochs=300","512","100000","0.5972450657894737"
"cifar10_pool_size=10000_m=512_p=0.5_lr=0.0005_epochs=300","512","10000","0.5997121710526315"
"cifar10_pool_size=1000_m=512_p=0.5_lr=0.0005_epochs=300","512","1000","0.5966282894736842"
"cifar10_pool_size=100_m=512_p=0.5_lr=0.0005_epochs=300","512","100","0.5867598684210527"
"cifar10_pool_size=1_m=512_p=0.5_lr=0.0005_epochs=300","512","1","0.5421463815789473"
"cifar10_pool_size=20000000_m=128_p=0.5_lr=0.0005_epochs=300","128","20000000",""
"cifar10_pool_size=1000000_m=128_p=0.5_lr=0.0005_epochs=300","128","1000000","0.5938527960526315"
"cifar10_pool_size=100000_m=128_p=0.5_lr=0.0005_epochs=300","128","100000","0.5966282894736842"
"cifar10_pool_size=10000_m=128_p=0.5_lr=0.0005_epochs=300","128","10000","0.5994037828947368"
"cifar10_pool_size=1000_m=128_p=0.5_lr=0.0005_epochs=300","128","1000","0.5991981907894737"
"cifar10_pool_size=100_m=128_p=0.5_lr=0.0005_epochs=300","128","100","0.5893297697368421"
"cifar10_pool_size=1_m=128_p=0.5_lr=0.0005_epochs=300","128","1","0.5485197368421053"
"cifar10_pool_size=20000000_m=1_p=0.5_lr=0.0005_epochs=300","1","20000000",""
"cifar10_pool_size=1000000_m=1_p=0.5_lr=0.0005_epochs=300","1","1000000","0.5950863486842105"
"cifar10_pool_size=100000_m=1_p=0.5_lr=0.0005_epochs=300","1","100000","0.5948807565789473"
"cifar10_pool_size=10000_m=1_p=0.5_lr=0.0005_epochs=300","1","10000","0.5920024671052632"
"cifar10_pool_size=1000_m=1_p=0.5_lr=0.0005_epochs=300","1","1000","0.594469572368421"
"cifar10_pool_size=100_m=1_p=0.5_lr=0.0005_epochs=300","1","100","0.5947779605263158"
"cifar10_pool_size=1_m=1_p=0.5_lr=0.0005_epochs=300","1","1","0.5393708881578947"
