"Name","m","pool_size","test_acc"
"mnist_pool_size=100000_m=512_p=0.5_lr=0.0005_epochs=200","512","100000","0.987561677631579"
"mnist_pool_size=10000_m=512_p=0.5_lr=0.0005_epochs=200","512","10000","0.9869449013157896"
"mnist_pool_size=1000_m=512_p=0.5_lr=0.0005_epochs=200","512","1000","0.9880756578947368"
"mnist_pool_size=100_m=512_p=0.5_lr=0.0005_epochs=200","512","100","0.9878700657894736"
"mnist_pool_size=1_m=512_p=0.5_lr=0.0005_epochs=200","512","1","0.9855057565789472"
"mnist_pool_size=100000_m=128_p=0.5_lr=0.0005_epochs=200","128","100000","0.9876644736842104"
"mnist_pool_size=10000_m=128_p=0.5_lr=0.0005_epochs=200","128","10000","0.9872532894736842"
"mnist_pool_size=1000_m=128_p=0.5_lr=0.0005_epochs=200","128","1000","0.9859169407894736"
"mnist_pool_size=100_m=128_p=0.5_lr=0.0005_epochs=200","128","100","0.985608552631579"
"mnist_pool_size=1_m=128_p=0.5_lr=0.0005_epochs=200","128","1","0.9846833881578948"
"mnist_pool_size=100000_m=64_p=0.5_lr=0.0005_epochs=200","64","100000","0.987561677631579"
"mnist_pool_size=10000_m=64_p=0.5_lr=0.0005_epochs=200","64","10000","0.9881784539473684"
"mnist_pool_size=1000_m=64_p=0.5_lr=0.0005_epochs=200","64","1000","0.986842105263158"
"mnist_pool_size=100_m=64_p=0.5_lr=0.0005_epochs=200","64","100","0.9878700657894736"
"mnist_pool_size=1_m=64_p=0.5_lr=0.0005_epochs=200","64","1","0.985608552631579"
"mnist_pool_size=100000_m=32_p=0.5_lr=0.0005_epochs=200","32","100000","0.9881784539473684"
"mnist_pool_size=10000_m=32_p=0.5_lr=0.0005_epochs=200","32","10000","0.9873560855263158"
"mnist_pool_size=1000_m=32_p=0.5_lr=0.0005_epochs=200","32","1000","0.9869449013157896"
"mnist_pool_size=100_m=32_p=0.5_lr=0.0005_epochs=200","32","100","0.9873560855263158"
"mnist_pool_size=1_m=32_p=0.5_lr=0.0005_epochs=200","32","1","0.9855057565789472"
"mnist_pool_size=100000_m=1_p=0.5_lr=0.0005_epochs=200","1","100000","0.9879728618421052"
"mnist_pool_size=10000_m=1_p=0.5_lr=0.0005_epochs=200","1","10000","0.9867393092105264"
"mnist_pool_size=1000_m=1_p=0.5_lr=0.0005_epochs=200","1","1000","0.9879728618421052"
"mnist_pool_size=100_m=1_p=0.5_lr=0.0005_epochs=200","1","100","0.9876644736842104"
"mnist_pool_size=1_m=1_p=0.5_lr=0.0005_epochs=200","1","1","0.986328125"
