"Name","pool_size","test_acc","m","input_p","_wandb"
"cifar10_pool_size=100000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100000","0.5606496710526315","512","0.8",""
"cifar10_pool_size=10000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","10000","0.5560238486842105","512","0.8",""
"cifar10_pool_size=1000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1000","0.55859375","512","0.8",""
"cifar10_pool_size=100_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100","0.5776110197368421","512","0.8",""
"cifar10_pool_size=1_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1","0.37417763157894735","512","0.8",""
"cifar10_pool_size=100000_m=128_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100000","0.5535567434210527","128","0.8",""
"cifar10_pool_size=10000_m=128_p=0.5_lr=0.0005_epochs=300_input_p=0.8","10000","0.5642475328947368","128","0.8",""
"cifar10_pool_size=1000_m=128_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1000","0.572985197368421","128","0.8",""
"cifar10_pool_size=100_m=128_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100","0.5789473684210527","128","0.8",""
"cifar10_pool_size=1_m=128_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1","0.3687294407894737","128","0.8",""
"cifar10_pool_size=100000_m=64_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100000","0.555921052631579","64","0.8",""
"cifar10_pool_size=10000_m=64_p=0.5_lr=0.0005_epochs=300_input_p=0.8","10000","0.5550986842105263","64","0.8",""
"cifar10_pool_size=1000_m=64_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1000","0.5652754934210527","64","0.8",""
"cifar10_pool_size=100_m=64_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100","0.5762746710526315","64","0.8",""
"cifar10_pool_size=1_m=64_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1","0.3866159539473684","64","0.8",""
"cifar10_pool_size=100000_m=32_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100000","0.5583881578947368","32","0.8",""
"cifar10_pool_size=10000_m=32_p=0.5_lr=0.0005_epochs=300_input_p=0.8","10000","0.5615748355263158","32","0.8",""
"cifar10_pool_size=1000_m=32_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1000","0.5720600328947368","32","0.8",""
"cifar10_pool_size=100_m=32_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100","0.5851151315789473","32","0.8",""
"cifar10_pool_size=1_m=32_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1","0.3667763157894737","32","0.8",""
"cifar10_pool_size=100000_m=1_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100000","0.5553042763157895","1","0.8",""
"cifar10_pool_size=10000_m=1_p=0.5_lr=0.0005_epochs=300_input_p=0.8","10000","0.5448190789473685","1","0.8",""
"cifar10_pool_size=1000_m=1_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1000","0.5557154605263158","1","0.8",""
"cifar10_pool_size=100_m=1_p=0.5_lr=0.0005_epochs=300_input_p=0.8","100","0.5818256578947368","1","0.8",""
"cifar10_pool_size=1_m=1_p=0.5_lr=0.0005_epochs=300_input_p=0.8","1","0.3791118421052632","1","0.8",""
"cifar10_pool_size=100000_m=512_p=0.5_lr=0.0005_epochs=300","100000","0.5935444078947368","512","0",""
"cifar10_pool_size=10000_m=512_p=0.5_lr=0.0005_epochs=300","10000","0.5967310855263158","512","0",""
"cifar10_pool_size=1000_m=512_p=0.5_lr=0.0005_epochs=300","1000","0.5951891447368421","512","0",""
"cifar10_pool_size=100_m=512_p=0.5_lr=0.0005_epochs=300","100","0.5922080592105263","512","0",""
"cifar10_pool_size=1_m=512_p=0.5_lr=0.0005_epochs=300","1","0.5467722039473685","512","0",""
"cifar10_pool_size=100000_m=128_p=0.5_lr=0.0005_epochs=300","100000","0.5979646381578947","128","0",""
"cifar10_pool_size=10000_m=128_p=0.5_lr=0.0005_epochs=300","10000","0.5896381578947368","128","0",""
"cifar10_pool_size=1000_m=128_p=0.5_lr=0.0005_epochs=300","1000","0.5987870065789473","128","0",""
"cifar10_pool_size=100_m=128_p=0.5_lr=0.0005_epochs=300","100","0.5865542763157895","128","0",""
"cifar10_pool_size=1_m=128_p=0.5_lr=0.0005_epochs=300","1","0.5469777960526315","128","0",""
"cifar10_pool_size=100000_m=64_p=0.5_lr=0.0005_epochs=300","100000","0.5913856907894737","64","0",""
"cifar10_pool_size=10000_m=64_p=0.5_lr=0.0005_epochs=300","10000","0.5950863486842105","64","0",""
"cifar10_pool_size=1000_m=64_p=0.5_lr=0.0005_epochs=300","1000","0.594983552631579","64","0",""
"cifar10_pool_size=100_m=64_p=0.5_lr=0.0005_epochs=300","100","0.5932360197368421","64","0",""
"cifar10_pool_size=1_m=64_p=0.5_lr=0.0005_epochs=300","1","0.5457442434210527","64","0",""
"cifar10_pool_size=100000_m=32_p=0.5_lr=0.0005_epochs=300","100000","0.5958059210526315","32","0",""
"cifar10_pool_size=10000_m=32_p=0.5_lr=0.0005_epochs=300","10000","0.5968338815789473","32","0",""
"cifar10_pool_size=1000_m=32_p=0.5_lr=0.0005_epochs=300","1000","0.5977590460526315","32","0",""
"cifar10_pool_size=100_m=32_p=0.5_lr=0.0005_epochs=300","100","0.5954975328947368","32","0",""
"cifar10_pool_size=1_m=32_p=0.5_lr=0.0005_epochs=300","1","0.5444078947368421","32","0",""
"cifar10_pool_size=100000_m=1_p=0.5_lr=0.0005_epochs=300","100000","0.5932360197368421","1","0",""
"cifar10_pool_size=10000_m=1_p=0.5_lr=0.0005_epochs=300","10000","0.5868626644736842","1","0",""
"cifar10_pool_size=1000_m=1_p=0.5_lr=0.0005_epochs=300","1000","0.5929276315789473","1","0",""
"cifar10_pool_size=100_m=1_p=0.5_lr=0.0005_epochs=300","100","0.5893297697368421","1","0",""
"cifar10_pool_size=1_m=1_p=0.5_lr=0.0005_epochs=300","1","0.5377261513157895","1","0",""
