"Name","input_p","m","p","pool_size","test_acc"
"cifar10_pool_size=50_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.5","50","0.5789473684210527"
"cifar10_pool_size=200_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.5","200","0.5805921052631579"
"cifar10_pool_size=500_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.5","500","0.569078947368421"
"cifar10_pool_size=2000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.5","2000","0.5580797697368421"
"cifar10_pool_size=5000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.5","5000","0.555407072368421"
"cifar10_pool_size=50_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.2","50","0.5431743421052632"
"cifar10_pool_size=200_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.2","200","0.5467722039473685"
"cifar10_pool_size=500_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.2","500","0.5394736842105263"
"cifar10_pool_size=2000_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.2","2000","0.5356702302631579"
"cifar10_pool_size=5000_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.2","5000","0.5313527960526315"
"cifar10_pool_size=50_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.1","50","0.5301192434210527"
"cifar10_pool_size=200_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.1","200","0.5313527960526315"
"cifar10_pool_size=500_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.1","500","0.5247738486842105"
"cifar10_pool_size=2000_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.1","2000","0.5236430921052632"
"cifar10_pool_size=5000_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.8","0.8","512","0.1","5000","0.5242598684210527"
"cifar10_pool_size=50_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.5","50","0.5953947368421053"
"cifar10_pool_size=200_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.5","200","0.5985814144736842"
"cifar10_pool_size=500_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.5","500","0.6005345394736842"
"cifar10_pool_size=2000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.5","2000","0.5963199013157895"
"cifar10_pool_size=5000_m=512_p=0.5_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.5","5000","0.6036184210526315"
"cifar10_pool_size=50_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.2","50","0.5706208881578947"
"cifar10_pool_size=200_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.2","200","0.5728824013157895"
"cifar10_pool_size=500_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.2","500","0.5812088815789473"
"cifar10_pool_size=2000_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.2","2000","0.5748355263157895"
"cifar10_pool_size=5000_m=512_p=0.2_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.2","5000","0.5756578947368421"
"cifar10_pool_size=50_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.1","50","0.5609580592105263"
"cifar10_pool_size=200_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.1","200","0.5647615131578947"
"cifar10_pool_size=500_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.1","500","0.5645559210526315"
"cifar10_pool_size=2000_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.1","2000","0.5608552631578947"
"cifar10_pool_size=5000_m=512_p=0.1_lr=0.0005_epochs=300_input_p=0.2","0.2","512","0.1","5000","0.5641447368421053"
