"Subnet Index","Test Accuracy","_defaultColorIndex","id","name"
"0","0.5271381578947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"1","0.5398848684210527","5","iypayeeo","cifar_dropout_subnet_experiment"
"2","0.5301192434210527","5","iypayeeo","cifar_dropout_subnet_experiment"
"3","0.5310444078947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"4","0.5387541118421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"5","0.5271381578947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"6","0.5368009868421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"7","0.5342310855263158","5","iypayeeo","cifar_dropout_subnet_experiment"
"8","0.5392680921052632","5","iypayeeo","cifar_dropout_subnet_experiment"
"9","0.5321751644736842","5","iypayeeo","cifar_dropout_subnet_experiment"
"10","0.5346422697368421","5","iypayeeo","cifar_dropout_subnet_experiment"
"11","0.5340254934210527","5","iypayeeo","cifar_dropout_subnet_experiment"
"12","0.5268297697368421","5","iypayeeo","cifar_dropout_subnet_experiment"
"13","0.5370065789473685","5","iypayeeo","cifar_dropout_subnet_experiment"
"14","0.5286800986842105","5","iypayeeo","cifar_dropout_subnet_experiment"
"15","0.5342310855263158","5","iypayeeo","cifar_dropout_subnet_experiment"
"16","0.5425575657894737","5","iypayeeo","cifar_dropout_subnet_experiment"
"17","0.5314555921052632","5","iypayeeo","cifar_dropout_subnet_experiment"
"18","0.5313527960526315","5","iypayeeo","cifar_dropout_subnet_experiment"
"19","0.5362870065789473","5","iypayeeo","cifar_dropout_subnet_experiment"
"20","0.5304276315789473","5","iypayeeo","cifar_dropout_subnet_experiment"
"21","0.5391652960526315","5","iypayeeo","cifar_dropout_subnet_experiment"
"22","0.5338199013157895","5","iypayeeo","cifar_dropout_subnet_experiment"
"23","0.5310444078947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"24","0.5368009868421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"25","0.5388569078947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"26","0.5381373355263158","5","iypayeeo","cifar_dropout_subnet_experiment"
"27","0.5272409539473685","5","iypayeeo","cifar_dropout_subnet_experiment"
"28","0.5396792763157895","5","iypayeeo","cifar_dropout_subnet_experiment"
"29","0.5432771381578947","5","iypayeeo","cifar_dropout_subnet_experiment"
"30","0.526110197368421","5","iypayeeo","cifar_dropout_subnet_experiment"
"31","0.5304276315789473","5","iypayeeo","cifar_dropout_subnet_experiment"
"32","0.5348478618421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"33","0.5370065789473685","5","iypayeeo","cifar_dropout_subnet_experiment"
"34","0.5377261513157895","5","iypayeeo","cifar_dropout_subnet_experiment"
"35","0.5380345394736842","5","iypayeeo","cifar_dropout_subnet_experiment"
"36","0.5335115131578947","5","iypayeeo","cifar_dropout_subnet_experiment"
"37","0.5387541118421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"38","0.536389802631579","5","iypayeeo","cifar_dropout_subnet_experiment"
"39","0.53125","5","iypayeeo","cifar_dropout_subnet_experiment"
"40","0.53125","5","iypayeeo","cifar_dropout_subnet_experiment"
"41","0.5314555921052632","5","iypayeeo","cifar_dropout_subnet_experiment"
"42","0.5386513157894737","5","iypayeeo","cifar_dropout_subnet_experiment"
"43","0.5342310855263158","5","iypayeeo","cifar_dropout_subnet_experiment"
"44","0.5385485197368421","5","iypayeeo","cifar_dropout_subnet_experiment"
"45","0.5377261513157895","5","iypayeeo","cifar_dropout_subnet_experiment"
"46","0.5368009868421053","5","iypayeeo","cifar_dropout_subnet_experiment"
"47","0.5369037828947368","5","iypayeeo","cifar_dropout_subnet_experiment"
"48","0.5302220394736842","5","iypayeeo","cifar_dropout_subnet_experiment"
"49","0.534436677631579","5","iypayeeo","cifar_dropout_subnet_experiment"
